AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A686477,Bobby,11/28/14 11:13,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Tan/Black,24,11
A690539,,10/22/14 13:03,Transfer,Partner,Cat,Intact Female,3 days,Siamese Mix,Lilac Point,0.1,10
A689523,Chiquillin,10/8/14 17:30,Return_to_owner,,Dog,Neutered Male,2 years,Miniature Schnauzer/Miniature Poodle,Gray,24,10
A670093,Holland,1/7/14 14:21,Transfer,Partner,Dog,Intact Male,1 year,Pit Bull/Chinese Sharpei,Tan,12,1
A683261,Mimi,7/23/14 13:59,Transfer,Partner,Dog,Spayed Female,4 years,Brittany Mix,Black/White,48,7
A670661,Angelina,12/7/14 16:16,Adoption,,Dog,Spayed Female,3 years,Dogo Argentino,White/Black,36,12
A671061,Darwin,3/1/14 15:17,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black,2,3
A695775,Duke,1/22/15 19:23,Return_to_owner,,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,24,1
A685768,,8/16/14 18:09,Adoption,,Dog,Neutered Male,4 years,Chihuahua Longhair Mix,Brown/Tan,48,8
A671331,Eris,1/23/14 13:06,Return_to_owner,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby,84,1
A668726,,12/8/13 11:43,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,12,12
A692137,Shadow,11/16/14 15:39,Return_to_owner,,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White,12,11
A699818,Pappy,4/6/15 15:36,Return_to_owner,,Dog,Intact Male,12 years,Chihuahua Shorthair Mix,Tan,144,4
A708042,Irene,7/25/15 11:17,Euthanasia,Medical,Dog,Spayed Female,2 years,Pit Bull Mix,White/Brown,24,7
A669305,Precious,4/4/15 14:06,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown,12,4
A679238,Pico,10/19/14 15:40,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby,5,10
A687162,Mabel,9/7/14 13:26,Transfer,Partner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/White,72,9
A696914,Bella,2/15/15 17:06,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,12,2
A693287,Abbadon,12/10/14 18:36,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,12
A694987,Sophia,1/18/15 17:44,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,12,1
A706659,Prince,7/6/15 17:41,Return_to_owner,,Dog,Neutered Male,7 months,Dachshund/Chihuahua Shorthair,Black/Tan,7,7
A680530,Dulce,6/14/14 17:55,Return_to_owner,,Dog,Spayed Female,3 years,Maltese Mix,White/Brown,36,6
A704662,,6/7/15 19:43,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Torbie,0.25,6
A682526,Major,7/1/14 17:22,Return_to_owner,,Dog,Intact Male,2 years,Staffordshire Mix,Fawn/White,24,7
A688716,Jorgo,9/24/14 18:09,Return_to_owner,,Dog,Neutered Male,11 months,Chihuahua Shorthair Mix,Tan,11,9
A684686,Prince,8/6/14 11:36,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White,12,8
A710989,,9/1/15 9:00,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black,3,9
A710652,Duncan,10/12/15 15:57,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,2,10
A718785,George,1/12/16 19:27,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White,3,1
A709715,,8/12/15 14:24,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black/White,0.25,8
A676014,Prometheus,6/29/14 17:01,Adoption,,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Blue/White,108,6
A704975,Unique,1/4/16 11:15,Transfer,Partner,Dog,Intact Female,1 year,Pit Bull Mix,Brown/Tan,12,1
A663483,Brownie,10/10/13 13:16,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby/White,36,10
A700044,Tom,4/13/15 14:56,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby,12,4
A709358,,8/7/15 19:01,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black,0.5,8
A678151,Skeeter,6/15/14 15:00,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,12,6
A678893,Paul,7/5/14 16:19,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2,7
A673958,Kilo,3/7/14 16:55,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,24,3
A684964,Rory,8/6/14 14:23,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair,Blue,1,8
A674158,Zoey,3/10/14 17:25,Euthanasia,Aggressive,Dog,Spayed Female,1 year,Labrador Retriever/Pointer,Black/White,12,3
A713403,,10/8/15 13:47,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,1,10
A689068,Monty,10/18/14 15:58,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby,2,10
A707350,Lily,8/11/15 0:00,Transfer,Partner,Cat,Spayed Female,2 years,Siamese Mix,Lynx Point,24,8
A669097,Kona,12/23/13 18:29,Adoption,,Dog,Spayed Female,9 months,Catahoula Mix,Tan/White,9,12
A665696,Rhino,12/11/13 18:43,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull,Blue/White,24,12
A712672,Chelsea,10/7/15 13:01,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Orange Tabby,36,10
A718026,Daisy,1/13/16 19:24,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Orange Tabby/White,4,1
A714331,Morgan,12/17/15 13:58,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,12
A671244,Mickey,5/25/14 12:40,Adoption,,Dog,Neutered Male,2 years,Rat Terrier Mix,Tricolor,24,5
A715718,,11/14/15 17:30,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown Brindle,12,11
A678216,,5/8/14 11:23,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White,1,5
A655220,Frankie,1/23/14 15:16,Transfer,Partner,Cat,Neutered Male,9 months,Domestic Longhair Mix,Brown Tabby/White,9,1
A669736,Trigger,1/9/14 17:11,Adoption,Foster,Dog,Neutered Male,2 months,Dachshund/Chihuahua Shorthair,Black/White,2,1
A698138,,3/7/15 9:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,12,3
A666657,,11/9/13 18:10,Adoption,,Dog,Neutered Male,1 month,Pit Bull Mix,Black/White,1,11
A664634,Sandy,10/10/13 11:42,Transfer,Partner,Dog,Intact Female,2 years,Shih Tzu/Havanese,White/Buff,24,10
A712866,Alan-A-Dale,10/8/15 18:20,Adoption,,Dog,Neutered Male,8 years,Dachshund Mix,Brown/White,96,10
A682164,Optimusprime,7/3/14 15:27,Transfer,Partner,Dog,Neutered Male,5 years,Boxer,Brown/White,60,7
A666555,Diego,12/14/13 17:41,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White/Black,24,12
A712620,Elf,9/30/15 13:05,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,12,9
A681356,Malcolm,6/15/14 15:45,Return_to_owner,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White,24,6
A670962,Peking,2/23/14 18:36,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie,12,2
A685763,Corra,8/25/14 11:36,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black,24,8
A678123,Onyx,6/17/14 17:00,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,6
A695178,Sunny,1/14/15 15:16,Adoption,,Dog,Spayed Female,3 years,Dachshund Mix,Red,36,1
A715833,Squirt,11/13/15 16:51,Euthanasia,Suffering,Dog,Intact Female,1 year,Miniature Schnauzer Mix,Black,12,11
A673093,,5/4/14 17:15,Adoption,Foster,Dog,Neutered Male,3 months,Maltese,White/Cream,3,5
A715801,Oso Jr,11/14/15 12:32,Transfer,Partner,Dog,Neutered Male,5 years,Labrador Retriever Mix,Tan,60,11
A702513,,5/14/15 18:49,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,5
A720973,,2/18/16 19:07,Transfer,SCRP,Cat,Unknown,,Domestic Shorthair Mix,Gray Tabby,,2
A680794,Braveheart,6/9/14 16:10,Return_to_owner,,Dog,Intact Male,4 years,Cavalier Span,Tricolor,48,6
A675681,Tilly,4/12/14 17:23,Transfer,Partner,Dog,Spayed Female,2 years,Great Pyrenees/Siberian Husky,Yellow,24,4
A696336,,2/6/15 16:55,Transfer,Partner,Dog,Unknown,1 weeks,Chihuahua Shorthair Mix,White/Black,0.25,2
A674001,Melody,7/7/14 15:52,Adoption,Foster,Dog,Spayed Female,1 year,Chihuahua Shorthair/Rat Terrier,Brown/Black,12,7
A683612,Smokey,7/19/14 16:42,Return_to_owner,,Dog,Neutered Male,3 years,German Shepherd Mix,Black/Brown,36,7
A672886,Boy Named Su,2/26/14 17:07,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black,24,2
A678104,,5/4/14 17:28,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange,0.25,5
A679190,Simon,5/22/14 17:12,Adoption,,Cat,Neutered Male,2 months,Domestic Longhair Mix,Black/White,2,5
A696185,Bailey,2/14/15 17:46,Adoption,Foster,Dog,Spayed Female,1 month,Australian Shepherd Mix,Brown/Black,1,2
A667917,Juliette,12/23/13 17:30,Adoption,,Cat,Intact Female,3 months,Domestic Shorthair Mix,Tortie/Blue Cream,3,12
A695699,Gabby,1/21/15 14:09,Return_to_owner,,Dog,Intact Female,1 year,English Bulldog Mix,Brown/White,12,1
A718503,Johannes,1/6/16 12:15,Adoption,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White,12,1
A672110,Toby,2/17/14 16:04,Transfer,Partner,Dog,Neutered Male,4 years,Dachshund Mix,Red,48,2
A677111,Coco,4/26/14 18:50,Adoption,,Dog,Spayed Female,5 years,English Bulldog Mix,Brown/White,60,4
A694063,Reeses,12/19/14 15:20,Return_to_owner,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Brown Brindle,24,12
A686459,Lovey,9/21/14 17:39,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie,2,9
A679469,,5/24/14 17:16,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever/German Shepherd,Black/Brown,2,5
A717592,Deuce,12/11/15 17:00,Return_to_owner,,Dog,Neutered Male,13 years,Labrador Retriever Mix,Tan/Gold,156,12
A701012,Luna,5/11/15 15:35,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,24,5
A671141,,1/25/14 17:45,Adoption,,Dog,Neutered Male,2 months,Catahoula/Labrador Retriever,Brown Merle,2,1
A694291,Larry,1/9/15 13:27,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby,2,1
A704495,,6/5/15 16:04,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever/Plott Hound,Black,1,6
A698225,Mickey,3/29/15 17:14,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,36,3
A668560,Powder,12/11/13 17:39,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White,4,12
A703919,,6/8/15 17:01,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,6
A676720,,4/18/14 14:46,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,12,4
A716877,,11/29/15 17:25,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue,5,11
A698367,Dragon,9/21/15 15:30,Return_to_owner,,Dog,Intact Male,7 years,Basset Hound,White/Tricolor,84,9
A708402,,7/28/15 11:29,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point,0.75,7
A697025,,2/22/15 14:46,Transfer,Partner,Dog,Intact Female,4 years,Staffordshire,Brown Brindle/White,48,2
A710181,Finn,8/24/15 17:15,Adoption,,Dog,Neutered Male,1 year,German Shepherd,Brown/Black,12,8
A686857,,8/28/14 8:59,Euthanasia,Suffering,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White,3,8
A652492,Lacey,2/25/14 11:07,Adoption,,Dog,Spayed Female,2 years,English Pointer Mix,Chocolate/White,24,2
A673441,Chuy,2/25/14 16:22,Return_to_owner,,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Blue/White,60,2
A705709,Dakota,6/21/15 11:17,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Black/Brown,60,6
A692581,Lainey,12/4/14 17:25,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,White/Gray,36,12
A688330,Mia,10/2/14 12:31,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,2,10
A686320,Mabel,8/29/14 17:33,Adoption,,Dog,Spayed Female,2 years,Beagle/Labrador Retriever,Buff/White,24,8
A666596,Snickers,11/18/13 16:50,Transfer,Partner,Dog,Intact Female,10 months,Doberman Pinsch/Border Collie,Tricolor,10,11
A708143,Sawyer,8/6/15 16:56,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,8
A689011,,9/27/14 18:57,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie,0.75,9
A671294,Olaf,1/26/14 14:56,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Buff/White,24,1
A671522,,1/27/14 16:27,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Orange Tabby,12,1
A707521,Mamba,7/24/15 11:56,Return_to_owner,,Dog,Spayed Female,4 years,Pit Bull Mix,Blue/White,48,7
A696821,Rosie,4/5/15 11:44,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White,24,4
A678072,,5/3/14 16:16,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,5
A673278,Princess,3/1/14 17:52,Adoption,,Dog,Spayed Female,6 years,Miniature Schnauzer Mix,Gray/White,72,3
A673705,Brownie,3/7/14 17:33,Adoption,,Dog,Neutered Male,2 years,Dachshund Wirehair/Pbgv,Chocolate,24,3
A718117,Cimba,2/12/16 0:00,Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby,48,2
A671200,,1/22/14 15:11,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,12,1
A682370,,7/1/14 16:40,Adoption,,Cat,Spayed Female,2 months,Domestic Longhair Mix,Brown Tabby,2,7
A701255,Joshua,5/7/15 0:00,Transfer,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,White,108,5
A701771,Stella,5/20/15 11:22,Transfer,Partner,Cat,Spayed Female,2 years,Siamese/Domestic Shorthair,Lynx Point,24,5
A684100,Bosco,7/26/14 13:56,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Brown,24,7
A678971,Squeaky,5/17/14 11:43,Transfer,Partner,Cat,Spayed Female,14 years,Domestic Shorthair Mix,Brown Tabby,168,5
A682166,,6/25/14 13:57,Transfer,Partner,Dog,Intact Male,1 month,Labrador Retriever Mix,Black/Tricolor,1,6
A695725,Orbit,1/21/15 19:05,Return_to_owner,,Dog,Neutered Male,4 years,Jack Russell Terrier Mix,White/Brown,48,1
A675097,Speedeni,3/23/14 13:15,Return_to_owner,,Dog,Neutered Male,10 years,Border Terrier/Pug,Brown,120,3
A693601,Camden,12/15/14 14:10,Return_to_owner,,Dog,Neutered Male,1 year,Black Mouth Cur Mix,Tan/White,12,12
A704117,Ozma,6/26/15 19:29,Adoption,,Dog,Spayed Female,5 months,Australian Shepherd Mix,Black/Tan,5,6
A665671,,10/25/13 12:49,Died,In Kennel,Cat,Intact Female,1 month,Siamese Mix,Seal Point,1,10
A681897,Aspen,10/12/14 13:58,Transfer,Partner,Dog,Intact Male,2 years,Shetland Sheepdog Mix,Sable/White,24,10
A696567,Alexandra,2/12/15 15:41,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,12,2
A686537,Soko,9/18/14 14:59,Transfer,Partner,Cat,Spayed Female,5 years,Domestic Longhair Mix,Black,60,9
A695750,Loca,1/21/15 18:00,Euthanasia,Suffering,Dog,Intact Female,13 years,Pit Bull Mix,Brown/White,156,1
A713405,,11/20/15 19:16,Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Seal Point,2,11
A692555,Brutus,12/4/14 17:33,Transfer,Partner,Dog,Neutered Male,8 years,German Shepherd Mix,Brown/Black,96,12
A712637,Red,10/2/15 17:21,Adoption,,Dog,Spayed Female,5 months,Redbone Hound Mix,Red,5,10
A673218,Hazel,2/28/14 18:29,Adoption,,Dog,Spayed Female,3 months,Border Collie Mix,White/Black,3,2
A707490,Latte,7/19/15 11:59,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown Brindle/White,2,7
A683196,April,7/13/14 17:24,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,2,7
A683566,Collin,12/31/14 9:02,Adoption,Foster,Dog,Neutered Male,1 year,Labrador Retriever Mix,Buff,12,12
A694928,,1/7/15 10:03,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,1
A710524,,8/24/15 14:42,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black,0.5,8
A669115,Perfect,12/23/13 11:28,Transfer,Partner,Cat,Intact Female,3 months,Domestic Shorthair Mix,Blue Tabby/Blue Cream,3,12
A697854,Monty,9/28/15 17:39,Adoption,,Dog,Neutered Male,10 years,Beauceron Mix,Black/Tan,120,9
A705984,Cosmo,7/16/15 18:15,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue Tabby/White,1,7
A684264,Spots,11/15/14 15:18,Transfer,Partner,Dog,Neutered Male,6 years,Pit Bull Mix,White/Brown,72,11
A667459,,11/24/13 18:09,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,White,2,11
A700409,,4/15/15 18:20,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,12,4
A709198,Cooper,8/12/15 18:21,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair/Pomeranian,White/Brown,2,8
A718385,Eleanor,1/5/16 13:20,Transfer,Partner,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue,84,1
A717038,,12/3/15 8:00,Euthanasia,Rabies Risk,Cat,Intact Female,2 years,Domestic Shorthair Mix,White/Blue,24,12
A669006,Matthew,12/23/13 11:27,Transfer,Partner,Cat,Intact Male,1 year,Domestic Longhair Mix,Black,12,12
A700330,Dougal,5/23/15 14:01,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White,12,5
A713415,Sissy,10/18/15 18:23,Adoption,,Dog,Spayed Female,10 months,Chihuahua Shorthair Mix,Black,10,10
A704794,,6/10/15 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White,12,6
A717005,Thumper,12/7/15 19:11,Return_to_owner,,Dog,Intact Male,2 years,Miniature Poodle Mix,White,24,12
A714836,Desiree,11/10/15 0:00,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,White/Brown,24,11
A680555,Achilles,6/28/14 13:41,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Blue/White,2,6
A680057,,5/29/14 8:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby,3,5
A679186,,5/17/14 13:30,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,White/Gray,0.5,5
A684091,Benny,8/30/14 18:22,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,8
A695306,Mr. Peabody,1/18/15 17:38,Transfer,Partner,Dog,Neutered Male,1 year,Shih Tzu Mix,White/Tan,12,1
A715547,Mr. Bonanny,1/20/16 13:21,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black,12,1
A704110,,6/7/15 15:32,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,1,6
A651363,Luna,1/9/15 18:23,Return_to_owner,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White,12,1
A687241,,9/7/14 12:05,Transfer,Partner,Dog,Spayed Female,4 months,Doberman Pinsch Mix,Tricolor,4,9
A714695,,10/27/15 12:27,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Orange Tabby,1,10
A716349,,11/18/15 17:56,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.5,11
A673999,Scrappy,3/5/14 18:50,Transfer,Partner,Dog,Intact Male,5 months,Miniature Pinscher Mix,Black/Tan,5,3
A691096,,11/2/14 12:51,Transfer,Partner,Dog,Intact Female,1 month,Catahoula Mix,Tan/White,1,11
A717641,Templeton,12/17/15 12:42,Adoption,,Dog,Neutered Male,3 years,Rat Terrier/Chihuahua Shorthair,Black/White,36,12
A668734,Vana White,1/5/14 15:11,Transfer,Partner,Dog,Intact Female,2 years,Pit Bull Mix,White/Brown,24,1
A684419,,7/24/14 9:00,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Brown Tabby,4,7
A701956,Davis,10/18/15 17:07,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby,12,10
A709168,,8/11/15 0:00,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.75,8
A712229,Ginger,11/10/15 14:25,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,2,11
A687402,,9/4/14 13:29,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,0.75,9
A689982,,10/18/14 14:24,Transfer,Partner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow,24,10
A714355,Sarah,11/20/15 15:05,Transfer,Partner,Cat,Spayed Female,4 years,Domestic Longhair Mix,Brown Tabby,48,11
A708354,,7/26/15 14:40,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair,Orange Tabby/White,0.5,7
A703324,Goose,8/14/15 0:00,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue/White,72,8
A691598,Octavio,11/13/14 17:07,Adoption,,Dog,Neutered Male,2 years,Collie Smooth/Siberian Husky,Brown/Tricolor,24,11
A714685,,11/1/15 18:39,Adoption,,Dog,Spayed Female,6 months,Pit Bull Mix,Yellow Brindle,6,11
A541994,Snuggles,6/22/15 19:58,Return_to_owner,,Cat,Neutered Male,6 years,American Shorthair Mix,White,72,6
A705531,,6/22/15 15:40,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Black,60,6
A688339,,11/15/14 18:05,Adoption,Foster,Dog,Spayed Female,1 month,Cairn Terrier Mix,Tricolor,1,11
A705350,Toast,7/18/15 18:20,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,7
A686451,Garen,9/14/14 14:00,Adoption,,Dog,Neutered Male,2 years,Border Collie Mix,Black/White,24,9
A682571,Finn,7/25/14 10:04,Adoption,,Dog,Intact Male,3 months,German Shepherd Mix,Black/Brown,3,7
A540369,Kolben,7/4/15 16:55,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd Mix,Black,84,7
A573350,Orson,12/31/14 15:49,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby,48,12
A665850,Oscar,12/21/13 19:22,Return_to_owner,,Dog,Neutered Male,5 years,Yorkshire Terrier Mix,Black/Tan,60,12
A712911,Eloise,12/31/15 10:22,Adoption,Foster,Dog,Spayed Female,8 years,Shih Tzu Mix,White/Black,96,12
A681589,,6/21/14 9:00,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Medium Hair Mix,Blue Tabby/White,24,6
A693788,,2/7/15 17:45,Adoption,Foster,Dog,Neutered Male,1 month,Labrador Retriever Mix,Cream/White,1,2
A673264,Herman,2/26/14 16:47,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,24,2
A709527,Georgia,8/28/15 14:24,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby,12,8
A706154,,6/30/15 13:09,Transfer,Partner,Dog,Spayed Female,4 months,Rat Terrier,Tricolor,4,6
A702322,Lobo,5/27/15 12:35,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,White,12,5
A677985,,5/19/14 14:19,Adoption,,Dog,Spayed Female,10 months,Pit Bull Mix,Blue/White,10,5
A708126,Mama,9/4/15 17:25,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,Black,24,9
A717873,Claus,12/20/15 18:01,Adoption,,Dog,Neutered Male,1 year,Miniature Schnauzer/Yorkshire Terrier,White,12,12
A706254,,7/7/15 8:34,Adoption,Foster,Dog,Neutered Male,7 months,Great Pyrenees Mix,White,7,7
A667769,Navi,11/30/13 17:22,Adoption,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Sable,36,11
A668659,Brandy,4/30/14 18:30,Adoption,,Dog,Spayed Female,3 years,Catahoula Mix,White/Brown,36,4
A526238,Cookie,1/27/14 11:05,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Black/White,120,1
A685356,Rex,8/7/14 17:35,Return_to_owner,,Dog,Neutered Male,5 years,German Shepherd,Brown/Black,60,8
A695141,Beau,1/31/15 11:44,Adoption,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black/Tricolor,12,1
A675408,Ryan,4/3/14 18:57,Adoption,,Dog,Spayed Female,6 months,Dachshund/Australian Kelpie,Black/White,6,4
A685236,,8/9/14 12:59,Adoption,,Dog,Spayed Female,5 months,Cairn Terrier Mix,Cream/Tan,5,8
A689604,Gizmo,10/13/14 11:34,Adoption,,Dog,Neutered Male,7 years,Pomeranian Mix,Tan,84,10
A598335,Jack,10/27/14 17:54,Euthanasia,Aggressive,Dog,Intact Male,6 years,Akita,Brown/Black,72,10
A667061,Bella,11/23/13 14:53,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Black,4,11
A700535,Bunnies,4/22/15 11:50,Return_to_owner,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tan,72,4
A714854,Willow,11/1/15 18:48,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Sable,4,11
A677210,Hera,6/15/14 17:13,Adoption,Foster,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby,2,6
A673558,Gus,3/13/14 18:24,Adoption,,Dog,Neutered Male,1 year,St. Bernard Smooth Coat/Anatol Shepherd,White/Brown Brindle,12,3
A708524,,7/29/15 13:44,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby/White,1,7
